,beer,style,region,manufacturer,brand,fermentation,alcohol,volume,img,price,ingredients,tastes,serve_with,name
Bosteels-Tripel-Karmeliet-750,"['Светлое', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Трипль']","['Бельгия', 'Фландрия']",Bosteels,Tripel Karmeliet,['Верховое брожение'],Средний,0.75,../data/images/Bosteels-Tripel-Karmeliet-750.jpg,Дорогой,"['ячмень', 'овёс', 'пшеница']","['травы', 'цитрусовые', 'банан', 'груша', 'округлый', 'насыщенный/интенсивный', 'приятный', 'долгий/продолжительный', 'сладковатый']","['птица', 'свинина', 'сыры', 'голубой сыр', 'средиземноморская кухня']",Bosteels Tripel Karmeliet
Hertog-Jan-Tripel,"['Средне-светлое', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Трипль']",['Нидерланды'],Anheuser-Busch InBev,Hеrtog Jan,['Верховое брожение'],Средний,0.5,../data/images/Hertog-Jan-Tripel.jpg,Дорогой,"['ячмень', 'хмель']","['специи/пряности', 'цитрусовые', 'мед', 'ананас', 'чернослив', 'гвоздика', 'мягкий', 'приятный', 'чистый', 'кориандр', 'мощный']","['птица', 'свинина', 'сыры', 'средиземноморская кухня']",Anheuser-Busch InBev Hеrtog Jan
Bosteels-Pauwel-Kwak-gift-set-4-bottles-glass,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Светлый Эль', 'Бельгийский/Французский Эль']","['Бельгия', 'Фландрия']",Bosteels,Pauwel Kwak,['Верховое брожение'],Средний,0.33,../data/images/Bosteels-Pauwel-Kwak-gift-set-4-bottles-glass.jpg,Дорогой,,"['фруктовый', 'хлеб', 'солод', 'насыщенный/интенсивный']","['мясо', 'дичь', 'лосось/семга', 'аперитив', 'десерты', 'дижестив']",Bosteels Pauwel Kwak
EKU-Export,"['Светлое', 'Фильтрованное']","['Лагер', 'Дортмундер/Экспорт Лагер', 'Немецкий Лагер']",['Германия'],Kulmbacher,Eku,['Низовое брожение'],Средний,0.5,../data/images/EKU-Export.jpg,Средний,"['ячмень', 'хмель']","['свежий', 'травы', 'бисквит', 'карамель', 'солод', 'мягкий', 'сбалансированный', 'гармоничный', 'горьковатый', 'сладковатый', 'хмель']","['рыба', 'белое мясо', 'закуски', 'овощи', 'сандвич', 'снэки', 'немецкая кухня']",Kulmbacher Eku
Lindemans-Kriek,['Красное'],"['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']",['Бельгия'],Brouwerij Lindemans,Lindemans,['Натуральное брожение'],Легкий,0.25,../data/images/Lindemans-Kriek.jpg,Средний,"['ячмень', 'пшеница', 'фрукты', 'хмель']","['вишня', 'насыщенный/интенсивный', 'сбалансированный']","['птица', 'свинина', 'аперитив', 'сыры', 'бутерброды']",Brouwerij Lindemans Lindemans
Guinness-Draught-with-nitrogen-capsule-in-can,"['Темное', 'Фильтрованное']","['Эль', 'Ирландский Эль', 'Ирландский Сухой Стаут']",['Ирландия'],Diageo,Guinness Draught,['Верховое брожение'],Средний,0.44,../data/images/Guinness-Draught-with-nitrogen-capsule-in-can.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'дым/копченый', 'кофе', 'древесный уголь', 'солод', 'сливочный', 'ячмень', 'гладкий']","['мясо', 'копчености', 'барбекю', 'мясо на гриле', 'шоколад']",Diageo Guinness Draught
Spaten-Munchen-Hell,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария', 'Мюнхен']",Spaten,Spaten,['Низовое брожение'],Средний,0.5,../data/images/Spaten-Munchen-Hell.jpg,Дешевый,"['хмель', 'ячмень']","['свежий', 'лимон', 'сухой', 'бисквит', 'земляной', 'солод', 'насыщенный/интенсивный', 'гладкий']","['мясо', 'рыба', 'белое мясо', 'свинина', 'салат', 'красное мясо', 'сыры', 'моллюски', 'немецкая кухня']",Spaten Spaten
St-Peter-s-Cream-Stout,"['Темное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Молочный/Сладкий Стаут']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-Cream-Stout.jpg,Средний,"['хмель', 'ячмень']","['шоколад', 'кофе', 'сливки', 'уголь', 'хлеб', 'сладкий', 'богатый', 'сбалансированный', 'сливочный', 'гладкий']","['десерты', 'барбекю', 'шоколад']",St. Peter's St. Peter's
Trappistes-Rochefort-10,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Квадрупель']",['Бельгия'],Rochefort,Trappistes Rochefort,['Верховое брожение'],Крепкий,0.33,../data/images/Trappistes-Rochefort-10.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'специи/пряности', 'карамель', 'плотный', 'богатый', 'сбалансированный', 'коричневый сахар', 'маслянистый', 'гладкий']","['мясо', 'дичь', 'сыры', 'говядина', 'десерты', 'дижестив', 'копчености']",Rochefort Trappistes Rochefort
Schlenkerla-Rauchbier-Marzen,"['Темное', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Копченое']",['Германия'],Aecht Schlenkerla Rauchbier,Schlenkerla,['Низовое брожение'],Средний,0.5,../data/images/Schlenkerla-Rauchbier-Marzen.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'шоколад', 'дым/копченый', 'древесный', 'земляной', 'солод', 'сбалансированный', 'долгий/продолжительный']","['мясо', 'барбекю', 'мясо на гриле']",Aecht Schlenkerla Rauchbier Schlenkerla
Apostel-Brau-in-can,"['Светлое', 'Фильтрованное']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']",['Германия'],Eichbaum,Apostel Brau,['Низовое брожение'],Средний,0.5,../data/images/Apostel-Brau-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['цитрусовые', 'бисквит', 'яблоки', 'хлеб', 'солод', 'освежающий', 'хмель', 'густой']","['салат', 'закуски', 'снэки']",Eichbaum Apostel Brau
Furst-Chlodwig-Pilsener-in-can,"['Светлое', 'Фильтрованное']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']",['Германия'],Liquid World,Furst Chlodwig,['Низовое брожение'],Средний,0.5,../data/images/Furst-Chlodwig-Pilsener-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['сбалансированный', 'горьковатый', 'классический', 'хмель']","['мясо', 'гриль', 'закуски', 'колбасные изделия', 'немецкая кухня']",Liquid World Furst Chlodwig
Wychwood-Ginger-Beard,"['Средне-янтарное', 'Фильтрованное']","['Смешанный', 'Травяное/Пряное']",['Англия'],Wychwood Brewery,Ginger Beard,,Средний,0.5,../data/images/Wychwood-Ginger-Beard.jpg,Средний,"['ячмень', 'хмель', 'имбирь']","['свежий', 'специи/пряности', 'мускатный орех', 'корица', 'апельсин', 'гвоздика', 'кардамон', 'солод', 'имбирь', 'приятный', 'сахарный тростник', 'кориандр', 'сладковатый']","['аперитив', 'морепродукты/дары моря', 'сыры', 'грибы', 'десерты', 'дижестив', 'барбекю', 'лед']",Wychwood Brewery Ginger Beard
Lindemans-Faro-Lambic,['Коричневое'],"['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']",['Бельгия'],Brouwerij Lindemans,Lindemans,['Натуральное брожение'],Средний,0.25,../data/images/Lindemans-Faro-Lambic.jpg,Средний,"['пшеница', 'хмель']","['карамель', 'древесный', 'сладкий', 'сбалансированный', 'кислинка']","['рыба', 'свинина', 'аперитив', 'закуски', 'дижестив', 'стейк']",Brouwerij Lindemans Lindemans
Westmalle-Trappist-Dubbel,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Дубль/дюббель']",['Бельгия'],Westmalle,Westmalle,['Верховое брожение'],Средний,0.33,../data/images/Westmalle-Trappist-Dubbel.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'специи/пряности', 'слива', 'карамель', 'виноград', 'изюм', 'сбалансированный', 'долгий/продолжительный', 'сладковатый', 'гладкий']","['мясо', 'аперитив', 'азиатская кухня', 'дижестив']",Westmalle Westmalle
Westmalle-Trappist-Tripel,"['Светлое', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Трипль']",['Бельгия'],Westmalle,Westmalle,['Верховое брожение'],Крепкий,0.33,../data/images/Westmalle-Trappist-Tripel.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'мягкий', 'сливочный', 'долгий/продолжительный', 'изысканный/элегантный']","['мясо', 'закуски', 'снэки']",Westmalle Westmalle
St-Peter-s-Old-Style-Porter,"['Коричневое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Портер']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-Old-Style-Porter.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'дым/копченый', 'специи/пряности', 'лакрица/лакричник', 'кофе', 'какао', 'солод', 'ирис', 'горьковатый', 'гладкий']","['мясо', 'жареное мясо', 'сыры', 'говядина', 'десерты', 'копчености', 'барбекю', 'шоколад']",St. Peter's St. Peter's
Lindemans-Gueuze,"['Средне-светлое', 'Нефильтрованное']","['Эль', 'Гёз', 'Бельгийский/Французский Эль']",['Бельгия'],Brouwerij Lindemans,Lindemans,['Верховое брожение'],Средний,0.25,../data/images/Lindemans-Gueuze.jpg,Средний,"['ячмень', 'хмель']","['херес', 'кислинка', 'ревень']","['птица', 'рыба', 'свинина', 'курица', 'индейка', 'моллюски']",Brouwerij Lindemans Lindemans
Hertog-Jan-Grand-Prestige,"['Темное', 'Нефильтрованное']","['Эль', 'Бельгийский Крепкий Темный Эль', 'Бельгийский/Французский Эль']",['Нидерланды'],Anheuser-Busch InBev,Hеrtog Jan,['Верховое брожение'],Крепкий,0.5,../data/images/Hertog-Jan-Grand-Prestige.jpg,Дорогой,"['ячмень', 'хмель']","['тосты', 'цитрусовые', 'кофе', 'карамель', 'солод', 'полный', 'мягкий', 'коричневый сахар', 'сладковатый']","['мясо', 'сыры', 'говядина', 'барбекю', 'мясо на гриле']",Anheuser-Busch InBev Hеrtog Jan
Lindemans-Framboise,['Красное'],"['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']",['Бельгия'],Brouwerij Lindemans,Lindemans,['Натуральное брожение'],Легкий,0.25,../data/images/Lindemans-Framboise.jpg,Средний,"['фрукты', 'хмель', 'ячмень']","['свежий', 'малина', 'карамель', 'кислинка']","['аперитив', 'салат', 'десерты', 'фрукты', 'овощи', 'шоколад', 'мороженое', 'чизкейк']",Brouwerij Lindemans Lindemans
